id,skill_or_role,category,demand_signal,signal_type,rank_or_growth,source,year,notes,url
f01,AI and big data,digital,fastest_growing_skill,wef_rank,1,WEF Future of Jobs,2025,Top fastest-growing skill 2025-2030. Not green but pairs with energy/grid data work.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/in-full/3-skills-outlook/
f02,Networks and cybersecurity,digital,fastest_growing_skill,wef_rank,2,WEF Future of Jobs,2025,Second-fastest growing skill.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/in-full/3-skills-outlook/
f03,Technological literacy,digital,fastest_growing_skill,wef_rank,3,WEF Future of Jobs,2025,Third-fastest growing skill.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/in-full/3-skills-outlook/
f04,Environmental stewardship,green,fastest_growing_skill,wef_rank,10,WEF Future of Jobs,2025,Entered top 10 fastest-growing skills for the first time. Driven by climate mitigation/adaptation.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/
f05,Renewable energy engineers,green_role,fastest_growing_job,wef_top15,1,WEF Future of Jobs,2025,Among 15 fastest-growing jobs; green transition driven.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/
f06,Environmental engineers,green_role,fastest_growing_job,wef_top15,2,WEF Future of Jobs,2025,Among 15 fastest-growing jobs.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/
f07,Electric and autonomous vehicle specialists,green_role,fastest_growing_job,wef_top15,3,WEF Future of Jobs,2025,Among 15 fastest-growing jobs.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/
f08,Wind turbine service technicians,green_role,bls_growth,percent,30,BLS OOH,2025,2025-35 outlook 30% (much faster than average). Median $64,120.,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm
f09,Solar photovoltaic installers,green_role,bls_growth,percent,37,BLS OOH,2025,2025-35 outlook 37%. Median $53,140. ~4,200 openings/year.,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm
f10,Energy management,green,fastest_growing_green_skill,linkedin,1,LinkedIn Green Skills Report 2025,2025,Fastest-growing green skill category worldwide; AI/data-center energy demand is a driver.,https://www.opf.degree/insights/cutting-through-the-green-noise-the-2025-global-green-skills-gap
f11,Sustainable procurement,green,fastest_growing_green_skill,linkedin,15,LinkedIn Green Skills Report 2024,2024,Fastest-growing green skill in 2024: +15% profile adoption YoY.,https://www.stern.nyu.edu/bridging-green-skills-gap-insights-linkedins-2024-report-and-how-nyu-stern-csb-preparing-next
f12,Heat pump installation,green_trade,shortage,linkedin_case,100000,LinkedIn / Octopus Energy,2025,UK: Octopus has 1,600 heat-pump engineers; estimates 100,000 needed in coming years. 2,000 apprenticeship applicants in 3 weeks. HTG: 94% like the course but only 33% have installed a unit.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf
f13,HVAC / electrification technicians,green_trade,shortage,jobs,110000,LinkedIn / Trane,2025,~110k unfilled HVAC tech jobs in US; gap could double to 225k in five years.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf
f14,Solar system design,green,skill_adoption,linkedin,900,LinkedIn 2024,2024,Solar skills led renewables growth; solar system design in Brazil 9x YoY on profiles.,https://economicgraph.linkedin.com/
f15,CSRD / ESRS sustainability reporting,green_white_collar,regulation_pull,policy,1,EU CSRD,2025,Regulatory demand for reporting skills; short courses EUR 0-100; deeper professional paths higher.,https://howtoesg.org/sustainability-reporting-courses-comparison-guide/
f16,GHG / carbon accounting,green_white_collar,regulation_pull,policy,1,GHG Protocol / CSRD / ISSB,2025,Core white-collar green skill. Training from $30 (Scope 2 cert) to $7,160 (Harvard microcertificate).,https://ghgprotocol.org/training-capacity-building
f17,Grid flexibility and energy storage,green,emerging,linkedin,1,LinkedIn 2025,2025,Utility-scale solar PV and storage rising in relevance for grid flexibility.,https://economicgraph.linkedin.com/
f18,Climate-change mitigation,macro_driver,employer_expectation,percent,47,WEF Future of Jobs,2025,47% of employers expect climate-change mitigation to transform their business by 2030 (3rd most transformative trend).,https://www.weforum.org/publications/the-future-of-jobs-report-2025/
f19,Climate-change adaptation,macro_driver,employer_expectation,percent,41,WEF Future of Jobs,2025,41% of employers expect climate adaptation to transform business; 6th overall trend.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/
f20,Green skills in non-green jobs,cross_cutting,share_of_hires,percent,53,LinkedIn 2025,2025,Majority of green hires are now in non-green titles. Upskill existing workforce; do not only train for green job titles.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf
