metric,value_pct,n_note,wave,source,url,as_of
satisfied_or_very_satisfied,94,139 respondents 2025 wave,2025,DESNZ Heat Training Grant mid-scheme review,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
very_satisfied,67,139 respondents,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
confident_or_very_confident_to_install,80,37% very + 43% confident,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
installed_at_least_one_heat_pump,33,vs 27% in 2024 wave,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
installed_at_least_one_2024_wave,27,prior wave,2024,DESNZ HTG 2024,https://www.gov.uk/government/publications/heat-training-grant-heat-pump-scheme-review,2025-01
would_not_have_trained_without_grant,47,vs 71% in 2024,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
salary_unchanged,72,13% reported an increase,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
salary_increased,13,of increasers 44% saw 10-20% rise,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
not_mcs_at_training,77,16% already MCS,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
obtained_mcs_after_if_not_already,12,same 12% in 2024 wave,2025,DESNZ HTG,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers/commentary-for-the-heat-training-grant-2025-mid-scheme-review-survey-of-htg-graduates,2026-06
