id,tgs_code,lookup_url,sgd_list,sgd_net_sc_u40,sgd_net_sc_40,sgd_net_sme,sfc_can_offset_nett,sfgw,funding_note
c40,TGS-PACE-CM1,https://www.ntu.edu.sg/pace/for-individuals/professional-certificates/professional-certificate-in-chartered-engineer-(sg)-in-sustainability,2180,1180,780,780,yes,no,50/70% SSG on NTU PACE CEng cores
c41,TGS-2025057845,https://courses.myskillsfuture.gov.sg/courses/TGS-2025057845--Carbon-Accounting-Fundamentals-1,3270,1770,1170,1170,yes,no,NTU PACE CM2
c42,,https://www.ntu.edu.sg/pace/for-individuals/professional-certificates/professional-certificate-in-chartered-engineer-(sg)-in-sustainability,3270,1770,1170,1170,yes,no,NTU PACE CM3
c43,,https://www.ntu.edu.sg/pace/for-individuals/professional-certificates/professional-certificate-in-chartered-engineer-(sg)-in-sustainability,3270,1770,1170,1170,yes,no,NTU PACE CM4
c44,,https://www.ntu.edu.sg/pace/for-individuals/professional-certificates/professional-certificate-in-chartered-engineer-(sg)-in-sustainability,11990,,, ,yes,no,Sum of 4 cores; electives TBC
c45,TGS-2026063292,https://www.ntu.edu.sg/business/admissions/NEE/public-programmes-for-professionals/skillsfuture-career-transition-programmes/sctp-advanced-professional-certificate-in-sustainability-reporting-and-ai-analytics,19838,5951,2311,2311,yes,yes,SCTP 70/90/95. AFS net S$1401. SFGW-SR
c46,,https://www.ntu.edu.sg/business/admissions/NEE/public-programmes-for-professionals/skillsfuture-career-transition-programmes/sctp-advanced-professional-certificate-in-sustainability-reporting-and-ai-analytics,3815,1145,445,445,yes,yes,One SCTP module
c47,,https://www.ntu.edu.sg/business/admissions/NEE/public-programmes-for-professionals/sustainability/executive-certificate-in-corporate-and-environmental-sustainability,9701,5252,3471,3471,yes,no,Two NBS modules after 50/70%
c48,,https://www.ntu.edu.sg/business/admissions/NEE/public-programmes-for-professionals/finance-and-valuation/certificate-programme-in-sustainable-finance,5341,2891,1911,1911,yes,no,NBS + UNGCNS
c49,,https://www.ntu.edu.sg/business/admissions/NEE/public-programmes-for-professionals/sustainability/certificate-programme-in-carbon-credit-quality-and-due-diligence,4578,2478,1638,1638,yes,no,
c50,,https://www.ntu.edu.sg/business/admissions/NEE/public-programmes-for-professionals/sustainability/executive-certificate-in-carbon-markets,3270,1770,1170,1170,yes,no,Per CMAS module
c51,TGS-2025056025,https://courses.myskillsfuture.gov.sg/courses/TGS-2025056025--Renewable-Energy-Systems-Smart-Grids-6,5616,1685,654,654,yes,no,MySkillsFuture payable from S$1046; SME ETSS ~S$654
c52,,https://www.ntu.edu.sg/pace/for-individuals/SkillsFuture_Career_Transition_Programme/(sctp)-advanced-professional-certificate-in-sustainable-urban-environments,18530,5559,2159,2159,yes,no,SCTP
c53,TGS-2024048754,https://courses.myskillsfuture.gov.sg/courses/TGS-2024048754--ISCA-Sustainability-Professional-Certification,1980,1480,1480,1480,yes,yes,SFGW-SR. List S$1980; SFC S$500 often brings payable to ~S$1480. Some runs show extra SSG.
c54,TGS-2025055159,https://courses.myskillsfuture.gov.sg/courses/TGS-2025055159--SFGW-Programme-Sustainability-Reporting-ISSB-Standards-Business-Reporting,1400,700,700,700,yes,yes,SFGW-SR NTUC. SSG ~S$700 then SFC can take payable to ~S$200
c55,TGS-2025056702,https://courses.myskillsfuture.gov.sg/courses/TGS-2025056702,1400,700,700,700,yes,yes,SFGW-SR NTUC GHG Accounting and Emission Management
c56,TGS-2025056654,https://courses.myskillsfuture.gov.sg/courses/TGS-2025056654,1600,800,800,800,yes,yes,SFGW-SR NTUC Mastering ISSB. Payable from ~S$300 after SFC
c57,TGS-2024050020,https://courses.myskillsfuture.gov.sg/courses/TGS-2024050020,400,200,200,200,yes,yes,SFGW-SR NTUC WSQ Understanding Sustainability for Business. Payable from S$0 with SFC
c58,TGS-2023040643,https://courses.myskillsfuture.gov.sg/courses/TGS-2023040643,1944,583,583,583,yes,yes,SFGW-SR Temasek Polytechnic PDC. Fees ex-GST on GoBusiness; confirm GST with TP
