stage_order,stage,value,unit,cohort,source,notes,url,as_of,confidence
1,Completed HTG-subsidised course,100,index_per_100,England HTG 2025,DESNZ,Index. Survey of people who already finished HTG heat-pump training.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,2026-06,high
2,Satisfied with the course,94,percent,England HTG 2025,DESNZ,67% very satisfied + 27% satisfied.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,2026-06,high
3,Confident they can install,80,percent,England HTG 2025,DESNZ,37% very confident + 43% confident.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,2026-06,high
4,Installed at least one heat pump,33,percent,England HTG 2025,DESNZ,Was 27% in the 2024 wave. 64% of respondents had finished training <6 months earlier.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,2026-06,high
5,Already MCS at time of training,16,percent,England HTG 2025,DESNZ,77% were not MCS; 7% did not know.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,2026-06,high
6,Obtained MCS after training if not already,12,percent,England HTG 2025 non-MCS subset,DESNZ,Same 12% in 2024. Base is those not already MCS (~84 of 100).,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,2026-06,high
7,Industry trained but not yet installed,50,percent,UK HPA 2023-24,HPA / LCL Awards,7800 completed training in 2023 and 7000+ in 2024; almost half have yet to complete an installation.,https://lclawards.co.uk/news/2025/from-heat-pump-trainee-to-installer-help-your-trainees-succeed,2025-02,high
8,Start at Home registered,2000,people,GB Nesta scale-up,Nesta,Registered with a Start at Home scheme.,https://www.nesta.org.uk/project/start-at-home-for-newly-trained-heat-pump-installers,2026-09,high
9,Start at Home live projects,250,projects,GB Nesta scale-up,Nesta,Live home-install projects underway.,https://www.nesta.org.uk/project/start-at-home-for-newly-trained-heat-pump-installers,2026-09,high
10,Start at Home completed home installs,83,installs,GB Nesta scale-up,Nesta,Successful home installations completed under the scheme.,https://www.nesta.org.uk/project/start-at-home-for-newly-trained-heat-pump-installers,2026-09,high
