id,who,what,rate_or_amount,applies_to,how_to_use,url,as_of,confidence
r01,Singapore Citizen aged 21-39 and PR aged 21+,Baseline course-fee funding,50% or 70% of fee depending on course tier,SSG/SWDA-supported courses,Paid at enrolment if you hit attendance and pass. GST is often charged on the full fee before funding.,https://skillsfuture.gov.sg/initiatives/mid-career/enhancedsubsidy,2026-09,high
r02,Singapore Citizen aged 40+,SkillsFuture Mid-Career Enhanced Subsidy (MCES),70% or 90% of fee (Tier 2 vs Tier 1 / emerging skills),Same SSG courses as baseline,Automatic if you qualify for baseline funding. You pay only the nett fee.,https://skillsfuture.gov.sg/initiatives/mid-career/enhancedsubsidy,2026-09,high
r03,SME-sponsored SC / PR / LTVP+,Enhanced Training Support for SMEs (ETSS),70% or 90% of fee (Tier 2 vs Tier 1),Company-sponsored SSG courses,Employer claims. SMEs get the higher rate; non-SMEs use baseline + MCES for staff aged 40+.,https://skillsfuture.gobusiness.gov.sg/support-and-programmes/funding/enhanced-training-subsidies-smes-etss,2026-09,high
r04,Singapore Citizen on SCTP who is long-term unemployed ComCare/WIS or PwD,Additional Funding Support (AFS),Up to 95% of SCTP course fee,SkillsFuture Career Transition Programme only,Provider applies the 95% band. GST still payable on the residual.,https://www.myskillsfuture.gov.sg/content/portal/en/career-resources/career-resources/education-career-personal-development/skillsfuture-career-transition-programme.html,2026-09,high
r05,Singapore Citizen aged 25+,SkillsFuture Credit (base),About S$500 opening credit (balance varies),Most SSG-eligible courses,Offset the nett fee AFTER SSG subsidy. Log in on MySkillsFuture to see your balance.,https://www.myskillsfuture.gov.sg/content/portal/en/career-resources/career-resources/education-career-personal-development/SkillsFuture_Credit.html,2026-09,high
r06,Singapore Citizen aged 40+,SkillsFuture Credit (Mid-Career),S$4000 extra that does not expire,Selected higher-employability courses (IHL stackables SCTP PWM WPLN),Offset nett fee on top of SSG subsidy. Not every short course is eligible.,https://www.skillsfuture.gov.sg/level-up-programme,2026-09,high
r07,Singapore Citizen aged 40+ on long-form training,Mid-Career Training Allowance,Full-time: 50% of recent income (S$300-S$3000/mo). Part-time: flat S$300/mo. Lifetime cap 24 months,Curated SCTP and IHL long-form programmes,Allowance is not a course-fee discount. Apply separately.,https://go.gov.sg/midcareerta,2026-09,high
r08,Anyone looking at sustainability reporting,SkillsFuture Green Workplace (SFGW-SR),Curated list aligned to ACRA SR BOK,ISCA NTU TP NTUC LHub programmes,Start here rather than browsing 640 CET courses. Same SSG/SFC money applies.,https://www.myskillsfuture.gov.sg/content/portal/en/career-resources/career-resources/education-career-personal-development/SFGW.html,2026-07,high
r09,Foreigner / ineligible,No SSG course-fee funding,0%,Most CET,Pay list price. SkillsFuture Credit is for citizens only.,https://skillsfuture.gov.sg,2026-09,high
r10,Attendance rule,Funding clawback if you miss class,Usually 75% attendance and pass assessments,Almost all SSG-funded CET,If you fail the rule you can be billed the subsidy amount.,https://www.tpgateway.gov.sg/plan-courses/ssg-funding,2026-09,high
