id,metric,value,unit,geography,year,source,notes,url,confidence
m01,green_share_of_training_courses_low,2.1,percent,AUS/DEU/SGP/USA,2024,OECD,Share of available adult-learning courses with green content; low end of 4-country range.,https://www.oecd.org/en/publications/training-supply-for-the-green-and-ai-transitions_7600d16d-en.html,high
m02,green_share_of_training_courses_high,14.1,percent,AUS/DEU/SGP/USA,2024,OECD,High end of same 4-country range. Vocational sector has more green provision than general adult learning.,https://www.oecd.org/en/publications/training-supply-for-the-green-and-ai-transitions_7600d16d-en.html,high
m03,workforce_in_green_driven_occupations,20,percent,OECD,2024,OECD Employment Outlook 2024,Occupations expected to grow due to net-zero transition.,https://www.oecd.org/en/publications/oecd-employment-outlook-2024_ac8b3538-en.html,high
m04,workforce_in_ghg_intensive_occupations,6,percent,OECD,2024,OECD,Workers in shrinking high-emission industries.,https://www.oecd.org/en/publications/oecd-employment-outlook-2024_ac8b3538-en.html,high
m05,oecd_countries_with_green_upskilling_strategy,27,count,OECD,2024,OECD questionnaire,All 27 responding countries have a green upskilling/reskilling policy.,https://www.oecd.org/en/publications/training-supply-for-the-green-and-ai-transitions_7600d16d-en.html,high
m06,oecd_countries_with_public_green_training,21,count,OECD,2024,OECD,21 of 27 launched publicly funded green training programmes; 40+ programmes identified.,https://www.oecd.org/en/publications/training-supply-for-the-green-and-ai-transitions_7600d16d-en.html,high
m07,green_hiring_growth,7.7,percent,Global LinkedIn,2025,LinkedIn Green Skills Report 2025,YoY growth in green hiring.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf,high
m08,green_skills_supply_growth,4.3,percent,Global LinkedIn,2025,LinkedIn Green Skills Report 2025,YoY growth in share of workers with green skills. Demand growing ~2x supply.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf,high
m09,green_talent_hiring_premium,46.6,percent,Global LinkedIn,2025,LinkedIn,Hiring rate for green-talent pool vs overall workforce.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf,high
m10,green_hires_in_non_green_titles,53.0,percent,Global LinkedIn,2025,LinkedIn,Majority of green hires are now workers with green skills in non-green job titles.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf,high
m11,uk_training_spend_per_trainee,2710,GBP,United Kingdom,2024,DfE Employer Skills Survey 2024,Down from £3,250 in 2022; lowest since series began. Real-terms -38.7% since 2011.,https://explore-education-statistics.service.gov.uk/,high
m12,uk_training_spend_per_employee,1700,GBP,United Kingdom,2024,DfE Employer Skills Survey 2024,Down from ~£1,960 in 2022.,https://explore-education-statistics.service.gov.uk/,high
m13,uk_construction_spend_per_trainee,5350,GBP,United Kingdom,2024,DfE Employer Skills Survey 2024,Highest sector spend per trainee (construction includes many green-adjacent trades).,https://explore-education-statistics.service.gov.uk/,high
m14,croatia_green_digital_voucher,3000,EUR,Croatia,2022,OECD,Lifelong-learning voucher up to EUR 3,000 for approved green or digital skills training.,https://www.oecd.org/en/publications/employment-and-skills-policies-for-the-green-transition_f0c558fa-en.html,high
m15,australia_apprentice_incentive,10000,AUD,Australia,2024,OECD,Apprentices may receive up to AUD 10,000; employers additional AUD 5,000 in critical occupations.,https://www.oecd.org/en/publications/employment-and-skills-policies-for-the-green-transition_f0c558fa-en.html,high
m16,wef_skills_changing_by_2030,39,percent,Global employers,2025,WEF Future of Jobs 2025,Employers expect 39% of key skills to change by 2030.,https://www.weforum.org/publications/the-future-of-jobs-report-2025/,high
m17,wef_net_jobs_by_2030,78,million_jobs,Global,2025,WEF Future of Jobs 2025,Net job creation 2025-2030 (170m created minus 92m displaced).,https://www.weforum.org/stories/jobs-and-the-future-of-work/future-of-jobs-report-2025-jobs-of-the-future-and-the-skills-you-need-to-get-them/,high
m18,wef_green_transition_jobs,34,million_jobs,Global,2025,WEF,Additional jobs by 2030 from green transition trends (incl. farmworkers growth).,https://www.weforum.org/stories/jobs-and-the-future-of-work/future-of-jobs-report-2025-jobs-of-the-future-and-the-skills-you-need-to-get-them/,medium
m19,bls_solar_pv_median_wage,53140,USD,United States,2025,BLS OOH,May 2025 median pay. 10th pct $41,600; 90th $79,970.,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,high
m20,bls_solar_pv_growth,37,percent,United States,2025,BLS OOH,Employment growth 2025-2035. Jobs 31,100 in 2025; +11,300; ~4,200 openings/year.,https://www.bls.gov/ooh/construction-and-extraction/solar-photovoltaic-installers.htm,high
m21,bls_wind_tech_median_wage,64120,USD,United States,2025,BLS OOH,May 2025 median pay. 10th pct $49,230; 90th $92,460.,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,high
m22,bls_wind_tech_growth,30,percent,United States,2025,BLS OOH,Employment growth 2025-2035 (OOH). Some secondary sources still cite 50% for 2024-34 vintage.,https://www.bls.gov/ooh/installation-maintenance-and-repair/wind-turbine-technicians.htm,high
m23,linkedin_2024_green_demand_growth,11.6,percent,Global LinkedIn,2024,LinkedIn Green Skills Report 2024,Demand for green talent 2023-24.,https://economicgraph.linkedin.com/,high
m24,linkedin_2024_green_supply_growth,5.6,percent,Global LinkedIn,2024,LinkedIn Green Skills Report 2024,Supply of qualified green workers 2023-24.,https://economicgraph.linkedin.com/,high
m25,us_hvac_unfilled_jobs,110000,jobs,United States,2025,LinkedIn / Trane case,Unfilled HVAC technician jobs; expected to reach ~225,000 in five years. Heat-pump adjacent.,https://www.eticanews.it/wp-content/uploads/2025/11/Linkedin_25-global-green-skills-report-v04.pdf,medium
m26,bls_hvac_median_wage,61010,USD,United States,2025,BLS OOH,May 2025 median for HVAC mechanics and installers. 10th pct $40050; 90th $95210.,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,high
m27,bls_hvac_growth,11,percent,United States,2025,BLS OOH,Employment growth 2025-2035. 440900 jobs in 2025; +48200.,https://www.bls.gov/ooh/installation-maintenance-and-repair/heating-air-conditioning-and-refrigeration-mechanics-and-installers.htm,high
m28,uk_htg_voucher_cap,500,GBP,England,2025,DESNZ,Heat Training Grant up to 500 GBP off heat pump / heat network short courses.,https://www.gov.uk/government/publications/heat-training-grant-for-heat-pumps,high
m29,uk_htg_vouchers_redeemed,9100,count,England,2025,DESNZ HTG mid-scheme review,Vouchers redeemed FYE2024 Q1 through FYE2025 Q3.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,high
m30,uk_htg_installed_after_training,33,percent,England,2025,DESNZ HTG survey,Share of surveyed graduates who had installed at least one heat pump. 94% were satisfied with training.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,high
m31,uk_htg_mcs_after_training,12,percent,England,2025,DESNZ HTG survey,Of those not already MCS-certified only 12% obtained MCS after the course.,https://www.gov.uk/government/publications/heat-training-grant-2025-mid-scheme-review-heat-pump-installers,high
m32,gbp_usd_fx_used,1.30,USD_per_GBP,snapshot,2026,pipeline,Conversion used for UK course rows in courses.csv. Recalculate if FX moves.,,medium
m33,sgd_usd_fx_used,0.78,USD_per_SGD,snapshot,2026,pipeline,Conversion used for NTU Singapore course rows.,,medium
m34,sg_sra_professionals_2023,2000,people,Singapore,2023,Green Skills Committee Report 2025,Sustainability reporting and assurance professionals.,https://jobsandskills.skillsfuture.gov.sg/resources/GSC-Report-2025.pdf,high
